#NEName,NEType,NEVersion,GP,SubNetwork,reuseNe
ENODEB12B01,ENODEB,L12B,15,ONVRAN,ENODEB12B01
ENODEB12B02,ENODEB,L12B,15,ONVRAN,ENODEB12B02
ENODEB13A01,ENODEB,L13A,15,ONVRAN,ENODEB13A01
ENODEB13A02,ENODEB,L13A,15,ONVRAN,ENODEB13A02
ENODEB13A03,ENODEB,L13A,15,ONVRAN,ENODEB13A03
ENODEB13B01,ENODEB,L13B,15,ONVRAN,ENODEB13B01
ENODEB13B02,ENODEB,L13B,15,ONVRAN,ENODEB13B02
ENODEB13B03,ENODEB,L13B,15,ONVRAN,ENODEB13B03
GGSN12AONV01,EPG,12A,15,ONVCORE,GGSN12AONV01
GGSN12AONV02,EPG,12A,15,ONVCORE,GGSN12AONV02
SGSNMME13AONV01,SGSNMME,13A,15,ONVCORE,SGSNMME13AONV01
SGSNMME13AONV02,SGSNMME,13A,15,ONVCORE,SGSNMME13AONV02
HSS12BONV01,HSS,12B,15,ONVCORE,HSS12BONV01
SAPC13BONV01,SAPC,13B,15,ONVCORE,SAPC13BONV01
SAPC12AONV01,SAPC,12A,15,ONVCORE,SAPC12AONV01
CGR8ONV01,CG,R8,15,ONVCORE,CGR8ONV01
CGR7ONV01,CG,R7,15,ONVCORE,CGR8ONV01
cnshre304mpg01,EPG,12A,15,ONVCORE,QDASAEGW01BER
